,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
85,OAK201804040,2,6,choos001,gallj002,andre001,belta001,mazan001,chirr001,profj001,rua-r001,toccc001,fistd001,semim001,joycm001,lowrj001,davik003,olsom001,chapm001,pindc001,maxwb001,poweb002,manas001
86,TOR201804040,4,3,moncy001,garca003,abrej003,davim005,delmn001,castw002,sancc001,andet001,engea001,fulmc001,travd001,donaj001,smoaj001,granc001,gricr001,martr004,morak001,pillk001,ngoeg001,sanca006
87,MIL201804050,8,0,happi001,zobrb001,bryak001,rizza001,contw001,almoa002,russa002,baezj001,lestj001,lestj001,cainl001,santd002,braur002,shawt001,aguij001,pereh001,arcio002,bandj001,suteb001,suteb001
88,PHI201804050,0,5,brinl001,dietd001,casts001,bourj002,andeb006,maybc001,rojam002,holab001,smitc006,smitc006,hernc005,santc002,kings001,hoskr001,herro001,franm004,alfaj002,piven001,crawj002,piven001
89,PIT201804050,2,5,hamib001,suare001,vottj001,duvaa001,genns001,winkj002,peraj003,barnt001,bailh001,bailh001,harrj002,polag001,marts002,bellj005,dickc002,freed001,cervf001,mercj002,braus002,braus002
90,SDN201804050,3,1,blacc001,lemad001,arenn001,desmi001,stort001,iannc001,parrg001,valap001,andet002,andet002,margm001,pirej001,hosme001,renfh001,villc002,galvf001,asuac001,hedga001,luccj001,luccj001
91,SLN201804050,3,1,perad001,martk001,goldp001,polla001,descd001,avila001,owinc001,dysoj001,ray-r002,ray-r002,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,munoy001,waina001,waina001
92,WAS201804050,8,2,confm001,cabra002,cespy001,brucj001,frazt001,gonza003,plawk001,reyej001,degrj001,degrj001,eatoa002,renda001,harpb003,zimmr001,kendh001,turnt001,montm001,stras001,taylm002,stras001
93,BOS201804050,2,3,duffm002,kierk001,gomec002,cronc002,ramow001,millb002,hecha001,robed004,refsr001,chiry001,bettm001,benia002,ramih003,martj006,bogax001,dever001,nunee002,bradj001,vazqc001,pricd001
94,CHA201804050,9,7,martl004,candj002,cabrm001,castn001,martv001,mccaj001,mahtm001,iglej001,machd001,zimmj003,moncy001,garca003,abrej003,davim005,sancc001,garcl004,andet001,narvo001,engea001,shiej002
95,MIN201804050,2,4,gordd002,seguj002,canor001,hanim001,seagk001,voged001,healr001,suzui001,freid001,paxtj001,dozib001,mauej001,sanom001,grosr001,buxtb001,keplm001,lamar001,adrie001,garvm001,gibsk002
96,NYA201804050,5,2,manct001,machm001,schoj001,jonea003,davic003,beckt001,rasmc001,santa003,siscc001,casha001,gardb001,judga001,stanm004,gregd001,sancg002,walkn001,austt001,wadet002,andum001,tanam001
97,OAK201804050,6,3,choos001,gallj002,andre001,belta001,mazan001,odorr001,rua-r001,robid003,centj001,perem004,semim001,pindc001,lowrj001,davik003,olsom001,chapm001,lucrj001,piscs001,smolj002,mengd001
98,COL201804060,8,3,incie001,albio001,freef001,markn001,suzuk001,tuckp001,swand001,flahr001,mccab001,mccab001,blacc001,lemad001,arenn001,gonzc001,desmi001,parrg001,stort001,iannc001,marqg001,marqg001
99,MIL201804060,4,5,zobrb001,bryak001,schwk001,contw001,russa002,carav001,heywj001,baezj001,hendk001,hendk001,cainl001,thame001,braur002,shawt001,santd002,pinam001,villj001,arcio002,woodb005,woodb005
100,PIT201804060,3,14,winkj002,suare001,vottj001,genns001,duvaa001,mesod001,peraj003,castl003,hamib001,castl003,harrj002,polag001,marts002,bellj005,dickc002,cervf001,morac001,mercj002,willt002,willt002
101,ANA201804060,9,13,joycm001,semim001,lowrj001,davik003,olsom001,chapm001,lucrj001,piscs001,poweb002,gossd001,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,ohtas001,maldm001,bridp001
102,CLE201804060,2,3,jay-j001,merrw001,mousm001,dudal001,cuthc001,solej001,gorda001,escoa003,buted001,duffd001,lindf001,kipnj001,ramij003,encae001,branm003,guyeb001,alony001,gomey001,davir003,carrc003
103,HOU201804060,4,1,margm001,pirej001,hosme001,villc002,renfh001,asuac001,galvf001,spanc001,hedga001,perdl002,sprig001,brega001,altuj001,corrc001,reddj001,gonzm002,gatte001,mccab002,fishd001,mccul002
104,NYA201804060,7,3,manct001,machm001,schoj001,jonea003,valed001,davic003,beckt001,santa003,josec002,gausk001,gardb001,judga001,stanm004,gregd001,sancg002,walkn001,drurb001,wadet002,andum001,sabac001
105,TEX201804060,8,5,pears001,donaj001,smoaj001,solay001,martr004,morak001,pillk001,gricr001,travd001,estrm001,choos001,gallj002,andre001,belta001,mazan001,chirr001,odorr001,rua-r001,robid003,moorm003
106,COL201804070,2,3,incie001,albio001,freef001,markn001,tuckp001,swand001,flahr001,perec003,sanca004,sanca004,blacc001,lemad001,arenn001,gonzc001,desmi001,parrg001,stort001,woltt001,bettc001,bettc001
107,MIL201804070,5,2,happi001,bryak001,schwk001,contw001,lastt001,carav001,heywj001,baezj001,darvy001,darvy001,cainl001,thame001,braur002,shawt001,santd002,villj001,arcio002,bandj001,daviz001,daviz001
108,PHI201804070,1,20,dietd001,brinl001,casts001,bourj002,andeb006,maybc001,rojam002,wallc001,peted001,peted001,hernc005,santc002,kings001,hoskr001,herro001,franm004,altha001,alfaj002,velav001,velav001
109,PIT201804070,7,4,winkj002,suare001,vottj001,genns001,duvaa001,ervip001,barnt001,peraj003,romas001,romas001,harrj002,fraza001,marts002,bellj005,dickc002,diaze005,morac001,mercj002,kuhlc001,kuhlc001
110,SFN201804070,5,7,taylc001,seagc001,puigy001,bellc002,forsl001,pedej001,barna001,utlec001,hillr001,hillr001,jacka001,panij002,mccua001,poseb001,longe001,pench001,beltb001,crawb001,strac001,strac001
111,SLN201804070,3,5,perad001,martk001,goldp001,polla001,descd001,owinc001,dysoj001,mathj001,greiz001,greiz001,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,wongk001,wachm001,wachm001
112,WAS201804070,3,2,cabra002,cespy001,florw001,frazt001,darnt001,brucj001,lagaj001,matzs001,rosaa003,matzs001,turnt001,renda001,harpb003,zimmr001,kendh001,taylm002,goodb001,sevep001,gonzg003,gonzg003
113,ANA201804070,7,3,joycm001,semim001,lowrj001,davik003,olsom001,chapm001,maxwb001,piscs001,smolj002,triga001,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,martj007,river003,ramij002
114,BOS201804070,3,10,spand001,smitm007,gomec002,millb002,duffm002,cronc002,ramow001,wendj002,hecha001,farij001,bettm001,benia002,ramih003,martj006,bogax001,dever001,nunee002,bradj001,leons001,porcr001
