,Game ID,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
1440,WAS201607220,uptob001,schir001,kempm001,solay001,dicka001,ramia003,wallb001,norrd001,perdl002,perdl002,reveb001,wertj001,murpd006,harpb003,ramow001,renda001,turnt001,espid001,roart001,roart001
1441,BAL201607230,santc002,kipnj001,lindf001,napom001,ramij003,chisl001,naqut001,davir003,perer003,tomlj001,jonea003,schoj001,machm001,davic003,trumm001,alvap001,hardj003,reimn001,josec002,gausk001
1442,BOS201607230,nunee002,grosr001,sanom001,dozib001,keplm001,vargk001,rosae001,suzuk001,buxtb001,nolar001,holtb002,pedrd001,bogax001,ortid001,ramih003,bradj001,hilla001,leons001,martm003,pricd001
1443,CHA201607230,kinsi001,maybc001,cabrm001,martv001,castn001,uptoj001,avilm001,saltj001,iglej001,boydm001,eatoa002,andet001,cabrm002,abrej003,frazt001,salat001,garca003,navad001,shucj001,albem001
1444,HOU201607230,escoy001,calhk001,troum001,pujoa001,simma001,choij001,giavj001,perec003,cunnt001,weavj003,sprig001,gonzm002,altuj001,corrc001,valbl001,tuckp001,gomec002,gatte001,marij002,mchuc001
1445,KCA201607230,profj001,mazan001,desmi001,belta001,odorr001,andre001,morem001,chirr001,deshd002,hamec001,escoa003,cuthc001,hosme001,morak001,peres002,gorda001,orlap001,eibnb001,coloc002,venty001
1446,NYA201607230,spand001,pagaa001,beltb001,poseb001,crawb001,parkj002,gillc001,willm008,penar002,cuetj001,gardb001,ellsj001,beltc001,mccab002,casts001,gregd001,teixm001,headc001,hicka001,novai001
1447,OAK201607230,forsl001,millb002,longe001,dickc002,pears001,arcio001,guyeb001,kierk001,casac001,smyld001,crisc001,lowrj001,valed001,davik003,butlb003,smolj002,semim001,healr001,mcbrm002,gravk001
1448,TOR201607230,aokin001,smits002,canor001,cruzn002,seagk001,linda001,martl004,iannc001,omals001,iwakh001,carre001,donaj001,encae001,saunm001,tulot001,smoaj001,pillk001,travd001,tholj001,dickr001
1449,CIN201607230,seguj002,bourm001,goldp001,lambj001,owinc001,tomay001,drurb001,goset001,ray-r002,ray-r002,hamib001,cozaz001,vottj001,brucj001,duvaa001,philb001,suare001,barnt001,sampk001,sampk001
1450,COL201607230,darnc001,beckg001,freef001,markn001,garca004,franj004,incie001,recka001,wislm001,wislm001,blacc001,lemad001,arenn001,gonzc001,stort001,descd001,reynm001,woltt001,andet002,andet002
1451,MIA201607230,reyej001,granc001,cespy001,lonej001,cabra002,walkn001,darnt001,lagaj001,degrj001,degrj001,realj001,pradm001,yelic001,stanm004,ozunm001,dietd001,johnc003,hecha001,fernj003,fernj003
1452,MIL201607230,fowld001,bryak001,rizza001,zobrb001,contw001,heywj001,russa002,baezj001,lackj001,lackj001,villj001,genns001,braur002,lucrj001,cartc002,nieuk001,pereh001,florr003,daviz001,daviz001
1453,PIT201607230,bourp001,herro001,blana001,joset001,ruppc001,aschc001,galvf001,hernc005,nolaa001,nolaa001,jasoj001,polag001,mccua001,marts002,freed001,cervf001,harrj002,mercj002,glast001,glast001
1454,SLN201607230,utlec001,seagc001,turnj001,gonza003,kendh001,grany001,tolea001,pedej001,maedk001,maedk001,garcg002,diaza003,piscs001,adamm002,gyorj001,hazej001,gricr001,rosaa002,leakm001,leakm001
1455,WAS201607230,jankt001,myerw001,kempm001,solay001,uptob001,schir001,bethc001,ramia003,jacke001,jacke001,reveb001,wertj001,murpd006,harpb003,ramow001,robic001,renda001,espid001,schem001,schem001
1456,BAL201607240,santc002,kipnj001,lindf001,napom001,ramij003,chisl001,uribj002,naqut001,perer003,klubc001,jonea003,schoj001,machm001,davic003,trumm001,alvap001,flahr001,josec002,borbj001,worlv001
1457,BOS201607240,nunee002,mauej001,sanom001,dozib001,keplm001,vargk001,rosae001,centj001,buxtb001,milot001,holtb002,pedrd001,bogax001,ramih003,bradj001,hilla001,shawt001,brenb002,hanir001,porcr001
