Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20150828,0,MIN,AL,128,3,26,3,1,0,1,3,0,0,2,2,0,7,0,0,0,3,5,0,0,0,0,27,9,1,0,0,0
20150829,0,MIN,AL,129,1,31,5,2,0,0,0,0,0,1,3,0,10,0,0,1,7,5,4,4,0,0,27,8,2,0,0,0
20150830,0,MIN,AL,130,7,31,8,2,1,2,7,0,1,1,4,0,7,1,0,0,6,4,5,5,0,0,27,6,0,0,1,0
20150901,0,MIN,AL,131,8,36,12,3,0,1,7,1,1,0,3,1,13,0,0,0,9,6,6,6,0,0,27,10,0,0,1,0
20150902,0,MIN,AL,132,3,29,7,1,0,1,3,0,0,0,4,0,7,0,0,1,6,3,0,0,0,0,27,8,1,0,0,0
20150903,0,MIN,AL,133,4,35,7,0,0,1,4,0,0,0,4,0,8,0,0,0,8,5,6,6,2,0,27,8,0,0,0,0
20150914,0,MIN,AL,143,7,35,13,2,0,1,7,0,0,0,4,0,5,0,0,2,8,3,1,1,1,0,27,5,1,0,1,0
20150915,0,MIN,AL,144,4,35,10,3,1,0,4,0,0,2,3,0,5,0,0,2,9,6,5,5,0,0,27,12,1,0,2,0
20150916,0,MIN,AL,145,4,41,7,3,0,1,4,1,0,0,5,1,8,1,0,1,7,6,7,7,0,0,36,12,0,0,4,0
20150917,0,MIN,AL,146,8,41,12,3,1,2,7,0,0,1,2,0,11,1,0,0,9,6,11,11,0,1,27,10,0,0,0,0
20150919,1,MIN,AL,147,3,41,7,1,1,1,3,1,0,0,3,1,14,0,0,1,6,8,3,3,1,0,36,14,1,0,1,0
20150919,2,MIN,AL,148,2,31,5,0,0,1,2,1,0,0,4,0,7,0,0,0,7,3,5,5,0,0,27,11,0,0,2,0
20150920,0,MIN,AL,149,8,35,12,1,0,3,8,0,0,1,6,0,5,1,0,0,10,3,1,1,0,0,27,9,1,0,1,0
